,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,flag,fouled,fouls,full_time,goals,half_time,inter,keyp,league,longb,mins,motm,name,off,offsides,owng,player_number,position,ps_x,ps_y,rating,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel,labeled_league
2056,23.0,0.0,0.3,0.3,0.0,1.5,78.8,0.8,2.3,uy,1.8,1.3,3.0,0.0,1.0,3.0,0.3,PremierLeague,0.3,315.0,0.0,Guillermo Varela,0.0,0.0,0.0,145385.0,D(R),78.8,36.5,6.83,0.0,0.3,3.3,180.0,Manchester United,2.8,1.0,70.0,1.0,3
2087,26.0,4.0,0.8,0.8,0.3,2.6,73.8,0.6,0.9,nl,0.3,0.9,32.0,2.0,0.0,1.8,0.8,PremierLeague,0.9,2755.0,1.0,Daryl Janmaat,0.2,0.2,0.0,32323.0,D(R),73.8,39.1,6.85,1.0,0.6,2.5,185.0,Newcastle United,2.5,1.1,80.0,5.0,3
2128,31.0,1.0,0.8,1.2,0.4,1.9,75.4,0.3,0.5,gb,1.3,1.0,26.0,0.0,2.0,1.9,0.8,PremierLeague,0.9,2330.0,0.0,Alan Hutton,0.1,0.1,2.0,6434.0,D(R),75.4,30.1,6.45,1.0,0.3,2.0,185.0,Aston Villa,1.6,0.8,72.0,6.0,3
2146,33.0,0.0,0.5,1.6,0.3,3.1,79.9,0.7,0.8,es,0.7,0.8,20.0,0.0,3.0,2.6,0.5,PremierLeague,0.5,1822.0,0.0,Angel Rangel,0.1,0.3,0.0,29820.0,D(R),79.9,55.6,6.89,0.0,0.6,1.8,188.0,Swansea,2.8,0.7,84.0,6.0,3
2171,25.0,2.0,0.3,1.1,0.2,2.6,72.9,0.4,0.8,es,0.4,0.8,32.0,2.0,1.0,2.6,0.3,LaLiga,0.2,2874.0,1.0,Mario,0.0,0.4,0.0,79909.0,D(R),72.9,38.6,6.93,0.0,1.0,2.5,178.0,Villarreal,1.8,0.5,71.0,8.0,4
2212,29.0,0.0,0.3,1.0,0.1,1.7,79.9,0.2,0.5,es,0.9,1.6,19.0,0.0,5.0,2.3,0.3,LaLiga,0.4,1660.0,0.0,Antonio Barragán,0.0,0.1,0.0,14085.0,D(R),79.9,30.6,6.56,1.0,0.0,1.8,186.0,Valencia,1.2,0.3,83.0,5.0,4
2225,23.0,0.0,0.8,1.8,0.3,2.1,78.4,1.1,0.9,it,0.8,1.6,16.0,0.0,0.0,2.6,0.8,LaLiga,0.8,1421.0,0.0,Cristiano Piccini,0.0,0.3,0.0,94831.0,D(R),78.4,37.6,7.04,0.0,0.9,2.7,183.0,Real Betis,1.3,1.2,77.0,4.0,4
2239,30.0,1.0,0.3,1.0,0.1,2.0,76.5,0.7,0.7,es,0.3,1.3,15.0,0.0,6.0,1.7,0.3,LaLiga,0.2,1193.0,0.0,Francisco Molinero,0.0,0.4,0.0,122856.0,D(R),76.5,20.3,6.41,0.0,0.2,1.2,175.0,Real Betis,0.9,0.4,72.0,5.0,4
2262,28.0,3.0,1.0,0.5,0.2,1.8,75.0,0.5,1.3,uy,1.1,1.3,30.0,0.0,1.0,1.9,1.0,LaLiga,0.7,2635.0,0.0,Damián Suárez,0.0,0.3,0.0,83705.0,D(R),75.0,38.5,6.64,1.0,0.3,2.1,173.0,Getafe,2.0,0.4,68.0,7.0,4
2307,34.0,1.0,0.5,2.0,0.6,2.7,80.3,0.2,0.8,es,0.8,0.7,18.0,2.0,1.0,3.5,0.5,LaLiga,0.2,1609.0,1.0,David García,0.1,0.4,0.0,79838.0,D(R),80.3,44.7,7.1,0.0,0.5,1.6,182.0,Las Palmas,2.7,0.1,79.0,2.0,4
2316,26.0,2.0,0.7,1.4,0.3,1.7,78.5,1.2,0.6,es,0.8,1.6,24.0,1.0,3.0,2.1,0.7,LaLiga,0.4,2262.0,0.0,David Simón,0.1,0.3,1.0,116146.0,D(R),78.5,39.4,6.69,0.0,0.4,2.2,178.0,Las Palmas,1.4,1.5,74.0,7.0,4
2328,35.0,0.0,0.0,0.0,0.3,0.7,88.6,0.0,0.0,es,0.3,0.3,0.0,0.0,3.0,0.3,0.0,LaLiga,0.0,30.0,0.0,Ángel,0.0,0.0,0.0,4674.0,D(R),88.6,11.7,6.15,0.0,0.0,0.0,180.0,Las Palmas,1.3,0.0,71.0,0.0,4
2345,23.0,0.0,0.0,1.0,0.1,1.9,83.0,0.4,0.6,es,0.6,1.3,5.0,0.0,2.0,2.0,0.0,LaLiga,0.0,468.0,0.0,Rober Correa,0.1,0.6,0.0,113354.0,D(R),83.0,29.4,6.48,1.0,0.0,1.7,182.0,Espanyol,0.9,0.4,76.0,2.0,4
2358,29.0,1.0,0.4,1.5,0.2,2.9,75.9,0.4,0.8,pt,0.7,1.0,23.0,0.0,3.0,2.6,0.4,LaLiga,0.3,1973.0,3.0,Miguel Lopes,0.0,0.2,1.0,43977.0,D(R),75.9,26.8,7.08,1.0,0.4,3.3,182.0,Granada,1.2,0.7,83.0,8.0,4
2393,29.0,4.0,0.7,0.8,0.1,2.2,75.8,0.3,1.0,es,0.8,1.0,26.0,0.0,5.0,2.4,0.7,LaLiga,0.4,2411.0,0.0,Alberto Lora,0.1,0.2,0.0,67302.0,D(R),75.8,34.3,6.74,0.0,0.2,2.2,168.0,Sporting Gijon,1.5,0.6,67.0,7.0,4
2453,33.0,4.0,0.7,0.6,0.2,0.8,87.2,1.2,0.8,br,0.7,1.3,24.0,0.0,5.0,1.6,0.7,LaLiga,0.8,2149.0,0.0,Dani Alves,0.1,0.2,0.0,5780.0,D(R),87.2,57.7,7.05,0.0,0.6,1.9,172.0,Barcelona,3.1,0.9,70.0,6.0,4
2507,31.0,1.0,0.8,0.5,0.2,1.5,77.1,0.8,0.5,es,0.5,1.2,34.0,1.0,1.0,1.9,0.8,LaLiga,0.9,3030.0,1.0,Juanfran,0.2,0.1,0.0,10332.0,D(R),77.1,33.5,7.06,0.0,0.2,2.1,180.0,Atletico Madrid,1.1,0.7,72.0,6.0,4
2559,24.0,5.0,0.8,1.3,0.1,1.7,86.0,0.3,0.7,br,0.8,1.5,23.0,2.0,1.0,2.3,0.8,LaLiga,0.5,2044.0,0.0,Danilo,0.1,0.2,0.0,88300.0,D(R),86.0,51.8,7.27,0.0,0.8,2.9,184.0,Real Madrid,2.0,0.4,78.0,6.0,4
2561,24.0,4.0,1.4,1.0,0.3,1.1,88.0,0.5,0.9,es,1.2,1.2,19.0,0.0,3.0,1.8,1.4,LaLiga,1.2,1638.0,0.0,Daniel Carvajal,0.1,0.3,0.0,106883.0,D(R),88.0,45.1,7.22,0.0,0.4,1.5,173.0,Real Madrid,1.6,0.8,73.0,6.0,4
2586,31.0,0.0,0.3,0.6,0.3,2.3,73.6,0.4,0.5,es,0.5,1.0,16.0,0.0,7.0,2.4,0.3,LaLiga,0.3,1548.0,0.0,Laure,0.0,0.3,0.0,34045.0,D(R),73.6,24.5,6.56,0.0,0.0,1.7,171.0,Deportivo La Coruna,1.3,0.3,64.0,6.0,4
2607,30.0,2.0,0.6,1.3,0.2,2.1,78.8,0.3,0.2,es,0.6,0.5,6.0,0.0,4.0,2.5,0.6,LaLiga,0.3,536.0,1.0,Carlos Martínez,0.0,0.5,0.0,33462.0,D(R),78.8,26.9,6.92,0.0,0.3,1.9,189.0,Real Sociedad,1.2,0.6,79.0,2.0,4
2611,23.0,0.0,0.3,1.4,0.2,3.5,69.5,0.2,0.9,es,1.7,1.6,10.0,0.0,3.0,1.8,0.3,LaLiga,0.6,918.0,0.0,Zaldúa,0.0,0.4,0.0,135911.0,D(R),69.5,23.9,6.79,0.0,0.2,2.4,176.0,Real Sociedad,2.1,0.5,71.0,5.0,4
2631,26.0,1.0,0.3,1.1,0.2,1.9,69.4,0.4,0.7,es,0.5,1.4,22.0,0.0,5.0,2.7,0.3,LaLiga,0.3,2048.0,0.0,Quini,0.0,0.4,0.0,115995.0,D(R),69.4,26.3,6.85,0.0,0.7,3.8,179.0,Rayo Vallecano,1.2,1.1,70.0,7.0,4
