,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,league,longb,name,off,offsides,owng,position,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
1260,23.0,1.0,0.1,1.6,0.8,4.4,,0.1,0.6,0.5,1.1,0.0,3.4,0.1,SerieA,,Marios Oikonomou,0.1,0.6,0.0,D(C),80.9,1.0,0.2,2.1,189.0,Bologna,,0.3,76.0,5.0
1287,28.0,0.0,0.2,1.7,0.6,5.2,87.1,0.1,0.3,0.8,0.6,4.0,3.9,0.2,SerieA,0.0,Francesco Acerbi,0.1,1.2,0.0,D(C),87.1,0.0,0.4,1.4,192.0,Sassuolo,4.3,0.2,88.0,3.0
1295,24.0,1.0,0.2,0.8,0.8,4.0,81.3,0.0,0.8,1.0,1.0,0.0,1.8,0.2,SerieA,0.0,Luca Antei,0.0,0.6,0.0,D(C),81.3,0.0,0.0,2.8,188.0,Sassuolo,2.4,0.2,77.0,2.0
1298,34.0,1.0,0.2,1.0,0.7,4.2,79.5,0.2,0.3,1.0,0.8,0.0,2.3,0.2,SerieA,0.0,Paolo Cannavaro,0.0,0.8,0.0,D(C),79.5,0.0,0.1,1.0,185.0,Sassuolo,3.2,0.3,83.0,8.0
1304,27.0,0.0,0.0,1.0,0.5,5.3,82.7,0.0,0.3,0.8,0.5,0.0,1.0,0.0,SerieA,0.0,Lorenzo Ariaudo,0.0,0.5,0.0,D(C),82.7,0.0,0.0,0.5,186.0,Sassuolo,0.8,0.0,76.0,0.0
1305,29.0,0.0,0.0,1.3,0.5,3.8,89.8,0.0,0.3,0.2,0.7,0.0,1.0,0.0,SerieA,0.0,Emanuele Terranova,0.0,1.7,0.0,D(C),89.8,0.0,0.0,0.3,185.0,Sassuolo,4.2,0.2,86.0,1.0
1320,29.0,1.0,0.4,1.3,0.4,4.1,87.0,0.1,0.5,0.6,1.0,3.0,2.3,0.4,SerieA,0.0,Leonardo Bonucci,0.1,0.4,1.0,D(C),87.0,0.0,0.8,1.1,190.0,Juventus,5.6,0.1,86.0,6.0
1321,31.0,0.0,0.5,1.5,0.5,3.4,86.6,0.2,0.3,1.0,1.1,1.0,2.3,0.5,SerieA,0.1,Giorgio Chiellini,0.1,0.1,0.0,D(C),86.6,1.0,0.6,1.5,187.0,Juventus,3.8,0.5,86.0,4.0
1323,35.0,0.0,0.3,1.1,0.3,3.1,88.6,0.4,0.4,0.8,0.2,1.0,2.2,0.3,SerieA,0.2,Andrea Barzagli,0.0,0.3,0.0,D(C),88.6,0.0,0.1,0.9,187.0,Juventus,4.5,0.3,87.0,2.0
1327,21.0,0.0,0.1,1.3,0.2,2.8,88.9,0.2,0.5,0.8,0.9,0.0,1.4,0.1,SerieA,0.0,Daniele Rugani,0.1,0.3,0.0,D(C),88.9,0.0,0.2,1.7,190.0,Juventus,2.2,0.4,82.0,2.0
1349,25.0,2.0,0.2,3.4,0.8,4.1,86.5,0.1,0.3,1.0,1.4,2.0,1.9,0.2,SerieA,0.0,Kostas Manolas,0.0,1.0,1.0,D(C),86.5,0.0,0.4,1.7,189.0,Roma,2.2,0.4,83.0,7.0
1368,29.0,0.0,0.0,1.4,0.0,1.8,85.1,0.0,0.2,1.0,2.2,0.0,2.0,0.0,SerieA,0.0,Leandro Castán,0.0,1.0,0.0,D(C),85.1,0.0,0.0,0.4,184.0,Roma,0.6,0.2,80.0,1.0
1369,23.0,0.0,0.3,0.7,0.3,1.0,78.0,0.0,0.3,0.2,0.8,0.0,0.0,0.3,SerieA,0.0,Norbert Gyömbér,0.0,0.0,0.0,D(C),78.0,0.0,0.0,0.5,189.0,Roma,0.5,0.5,74.0,1.0
1381,25.0,0.0,0.1,1.3,0.4,4.4,77.2,0.2,1.0,0.3,1.4,1.0,3.0,0.1,SerieA,0.0,Rafael Tolói,0.0,0.5,1.0,D(C),77.2,1.0,0.4,2.0,185.0,Atalanta,3.0,0.2,75.0,6.0
1383,23.0,0.0,0.0,2.0,0.3,8.0,82.0,0.0,0.3,1.7,0.7,0.0,2.3,0.0,SerieA,0.0,Berat Xhimshiti,0.0,0.7,0.0,D(C),82.0,0.0,0.3,1.7,190.0,Atalanta,1.7,0.0,78.0,1.0
1386,30.0,0.0,0.1,1.8,0.5,5.0,78.1,0.0,0.5,0.6,1.5,1.0,2.1,0.1,SerieA,0.0,Gabriel Paletta,0.2,0.8,0.0,D(C),78.1,2.0,0.3,2.1,190.0,Atalanta,4.2,0.1,80.0,5.0
1390,35.0,0.0,0.1,1.0,0.1,2.9,82.5,0.0,0.3,1.0,1.1,1.0,1.7,0.1,SerieA,0.0,Guglielmo Stendardo,0.1,0.5,0.0,D(C),82.5,1.0,0.3,1.9,190.0,Atalanta,1.5,0.2,89.0,3.0
1411,26.0,0.0,0.2,2.4,0.9,6.7,71.0,0.1,0.4,0.1,0.7,0.0,2.1,0.2,SerieA,0.0,Simone Romagnoli,0.0,0.8,0.0,D(C),71.0,0.0,0.4,1.5,193.0,Carpi,1.7,0.2,85.0,5.0
1424,27.0,0.0,0.2,1.2,0.5,3.0,71.7,0.0,0.7,0.6,2.0,0.0,1.3,0.2,SerieA,0.0,Fabrizio Poli,0.0,0.2,0.0,D(C),71.7,0.0,0.0,1.9,185.0,Carpi,1.8,0.4,75.0,5.0
